"Transaction ID","Date","Transaction Type","Currency","Amount","Fee","Net Amount","Asset Type","Asset Price","Asset Amount","Status","Notes","Name of sender/receiver","Account"
"ixdiafge","2021-10-27 06:53:11 PDT","Cash out","USD","-$72.95","$0","-$72.95",,"",,"TRANSFER SENT",,"","Your Cash"
"4q4xwn","2021-10-27 06:30:38 PDT","Stock Sell","USD","$31.89","$0","$31.89","TSLA","$1,043.84","0.03056013","COMPLETED","Cash Invest TSLA SELL trade","","Your Cash"
"2rfpke","2021-10-27 06:30:22 PDT","Stock Sell","USD","$4.96","$0","$4.96","BYND","$94.05","0.05284574","COMPLETED","Cash Invest BYND SELL trade","","Your Cash"
"tczqcn","2021-10-27 06:30:12 PDT","Stock Sell","USD","$27.51","$0","$27.51","NIO","$40.94","0.67212159","COMPLETED","Cash Invest NIO SELL trade","","Your Cash"
"tcw19a","2021-10-27 06:30:09 PDT","Stock Sell","USD","$8.59","$0","$8.59","SLV","$22.33","0.38505968","COMPLETED","Cash Invest SLV SELL trade","","Your Cash"
"3lshtk3f","2021-09-22 18:27:26 PDT","Cash out","USD","-$4.76","$0","-$4.76",,"",,"TRANSFER SENT",,"","Your Cash"
"mqhupe","2021-09-22 18:27:15 PDT","Bitcoin Sale","USD","$4.91","-$0.15","$4.76","BTC","$43,267.54","0.00011348","COMPLETED","sale of BTC 0.00011348","","Your Cash"
"a4fujzer","2021-09-22 18:25:51 PDT","Cash out","USD","-$19.23","$0","-$19.23",,"",,"TRANSFER SENT",,"","Your Cash"
"ghtaib","2021-08-16 06:32:49 PDT","Stock Sell","USD","$5.76","$0","$5.76","AMZN","$3,280.83","0.0017587","COMPLETED","Cash Invest AMZN SELL trade","","Your Cash"
"l6arkn","2021-08-16 06:31:04 PDT","Stock Sell","USD","$13.47","$0","$13.47","SNAP","$73.94","0.1823154","COMPLETED","Cash Invest SNAP SELL trade","","Your Cash"
"pozqrz3h","2021-07-31 16:34:04 PDT","Cash out","USD","-$569.78","$0","-$569.78",,"",,"TRANSFER SENT",,"","Your Cash"
"pozqrz3h","2021-07-31 16:30:09 PDT","Cash out","USD","$569.78","$0","$569.78",,"",,"TRANSFER REVERSED",,"","Your Cash"
"pozqrz3h","2021-07-31 16:30:08 PDT","Cash out","USD","-$569.78","$0","-$569.78",,"",,"TRANSFER SENT",,"","Your Cash"
"nf60cj","2021-07-30 18:53:30 PDT","Bitcoin Sale","USD","$580","-$10.22","$569.78","BTC","$41,987.85","0.01381352","COMPLETED","sale of BTC 0.01381352","","Your Cash"
"aamms4et","2021-07-28 07:27:24 PDT","Cash out","USD","-$10","$0","-$10",,"",,"TRANSFER SENT",,"","Your Cash"
"im6omv52","2021-07-02 08:11:58 PDT","Cash out","USD","-$349.99","$0","-$349.99",,"",,"TRANSFER SENT",,"","Your Cash"
"im6omv52","2021-07-02 08:11:56 PDT","Cash out","USD","$349.99","$0","$349.99",,"",,"TRANSFER REVERSED",,"","Your Cash"
"skzv3xto","2021-07-01 09:08:27 PDT","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"im6omv52","2021-07-01 09:07:09 PDT","Cash out","USD","-$349.99","$0","-$349.99",,"",,"TRANSFER SENT",,"","Your Cash"
"o2cpo7","2021-07-01 09:06:46 PDT","Stock Sell","USD","$349.99","$0","$349.99","TSLA","$680.59","0.51425968","COMPLETED","Cash Invest TSLA SELL trade","","Your Cash"
"yfmsgcpv","2021-06-14 14:12:20 PDT","Cash out","USD","-$99.99","$0","-$99.99",,"",,"TRANSFER SENT",,"","Your Cash"
"xi6l7z","2021-06-14 09:14:31 PDT","Bitcoin Buy","USD","-$491.19","-$8.81","-$500","BTC","$40,324.81","0.01218084","COMPLETED","purchase of BTC 0.01218084","","Your Cash"
"hwykq8","2021-05-24 06:31:21 PDT","Stock Sell","USD","$599.99","$0","$599.99","TSLA","$581.63","1.03158365","COMPLETED","Cash Invest TSLA SELL trade","","Your Cash"
"gmh4itnv","2021-05-12 16:53:40 PDT","Cash out","USD","-$490.97","$0","-$490.97",,"",,"TRANSFER SENT",,"","Your Cash"
"eioihh","2021-05-12 16:53:19 PDT","Bitcoin Sale","USD","$500","-$9.03","$490.97","BTC","$50,874.12","0.00982818","COMPLETED","sale of BTC 0.00982818","","Your Cash"
"cdikxskl","2021-03-09 12:37:44 PST","Cash out","USD","-$46.05","$0","-$46.05",,"",,"TRANSFER SENT",,"","Your Cash"
"13x6ts","2021-03-08 06:31:50 PST","Stock Sell","USD","$46.05","$0","$46.05","ACB","$9.67","4.7627717","COMPLETED","Cash Invest ACB SELL trade","","Your Cash"
"pkx6mik5","2021-03-06 06:56:05 PST","Cash out","USD","-$21.23","$0","-$21.23",,"",,"TRANSFER SENT",,"","Your Cash"
"yxqdtk","2021-03-01 06:33:41 PST","Stock Sell","USD","$3.76","$0","$3.76","AMC","$8.87","0.42494178","COMPLETED","Cash Invest AMC SELL trade","","Your Cash"
"gqi8id","2021-03-01 06:32:21 PST","Stock Sell","USD","$5.30","$0","$5.30","STMP","$186.05","0.02854045","COMPLETED","Cash Invest STMP SELL trade","","Your Cash"
"gbu7ls","2021-03-01 06:31:11 PST","Stock Sell","USD","$7.55","$0","$7.55","ZM","$393.07","0.01923298","COMPLETED","Cash Invest ZM SELL trade","","Your Cash"
"6e0vpb","2021-03-01 06:30:56 PST","Stock Sell","USD","$4.62","$0","$4.62","FSLY","$74.87","0.06184062","COMPLETED","Cash Invest FSLY SELL trade","","Your Cash"
"p16d5z","2021-02-24 06:36:15 PST","Bitcoin Buy","USD","-$9.78","-$0.22","-$10","BTC","$49,376.48","0.00019807","COMPLETED","#recurring EVERY_TWO_WEEKS purchase of BTC 0.00019807","","Your Cash"
"17f54u","2021-02-22 10:22:39 PST","Stock Buy","USD","-$10","$0","-$10","SLV","$25.97","0.38505968","COMPLETED","Cash Invest SLV BUY trade","","Your Cash"
"oig2qamh","2021-02-22 10:22:39 PST","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"4fg6eb","2021-02-22 05:02:57 PST","Stock Buy","USD","-$10","$0","-$10","NIO","$54.27","0.18426386","COMPLETED","#recurring Cash Invest NIO BUY trade","","Your Cash"
"3yvew9","2021-02-20 16:55:21 PST","Stock Buy","USD","-$10","$0","-$10","TSLA","$756.39","0.01322069","COMPLETED","#recurring Cash Invest TSLA BUY trade","","Your Cash"
"pq8bwas","2021-02-17 22:03:20 PST","Sent P2P","USD","$5","$0","$5",,"",,"PAYMENT REVERSED","Glow in the dark Cash Card","Cash Card","Your Cash"
"pq8bwas","2021-02-17 22:03:18 PST","Sent P2P","USD","-$5","$0","-$5",,"",,"PAYMENT SENT","Glow in the dark Cash Card","Cash Card","Your Cash"
"kf8bwqy","2021-02-17 22:02:31 PST","Sent P2P","USD","$5","$0","$5",,"",,"PAYMENT REVERSED","Glow in the dark Cash Card","Cash Card","Your Cash"
"kf8bwqy","2021-02-17 22:02:30 PST","Sent P2P","USD","-$5","$0","-$5",,"",,"PAYMENT SENT","Glow in the dark Cash Card","Cash Card","Your Cash"
"kw9b4f7","2021-02-17 21:57:22 PST","Sent P2P","USD","$5","$0","$5",,"",,"PAYMENT REVERSED","Glow in the dark Cash Card","Cash Card","Your Cash"
"kw9b4f7","2021-02-17 21:57:20 PST","Sent P2P","USD","-$5","$0","-$5",,"",,"PAYMENT SENT","Glow in the dark Cash Card","Cash Card","Your Cash"
"b1mm0l","2021-02-16 06:30:44 PST","Stock Sell","USD","$14.99","$0","$14.99","AMC","$5.99","2.50417362","COMPLETED","Cash Invest AMC SELL trade","","Your Cash"
"57oil7","2021-02-11 20:27:55 PST","Bitcoin Buy","USD","-$294.69","-$5.31","-$300","BTC","$47,095.62","0.00625727","COMPLETED","purchase of BTC 0.00625727","","Your Cash"
"snfgo6bg","2021-02-11 20:27:55 PST","Cash in","USD","$300","$0","$300",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"3f13y5","2021-02-10 06:36:14 PST","Bitcoin Buy","USD","-$9.78","-$0.22","-$10","BTC","$45,185.73","0.00021644","COMPLETED","#recurring EVERY_TWO_WEEKS purchase of BTC 0.00021644","","Your Cash"
"v7f62p","2021-02-08 09:33:38 PST","Bitcoin Buy","USD","-$97.73","-$2.27","-$100","BTC","$43,148.47","0.00226497","COMPLETED","purchase of BTC 0.00226497","","Your Cash"
"5hdjsmz3","2021-02-08 09:33:38 PST","Cash in","USD","$100","$0","$100",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"13bdr1","2021-02-08 05:03:59 PST","Stock Buy","USD","-$10","$0","-$10","NIO","$56.94","0.17562346","COMPLETED","#recurring Cash Invest NIO BUY trade","","Your Cash"
"2s8uzw","2021-01-30 16:53:24 PST","Stock Buy","USD","-$50","$0","-$50","AMC","$17.07","2.9291154","COMPLETED","Cash Invest AMC BUY trade","","Your Cash"
"cpfqhomd","2021-01-30 16:53:24 PST","Cash in","USD","$50","$0","$50",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"8hgz17","2021-01-27 06:36:15 PST","Bitcoin Buy","USD","-$9.78","-$0.22","-$10","BTC","$29,914.66","0.00032693","COMPLETED","#recurring EVERY_TWO_WEEKS purchase of BTC 0.00032693","","Your Cash"
"frubou","2021-01-26 10:43:59 PST","Stock Buy","USD","-$10","$0","-$10","BYND","$189.23","0.05284574","COMPLETED","Cash Invest BYND BUY trade","","Your Cash"
"mxgxxohf","2021-01-26 10:43:59 PST","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"jnwb8z","2021-01-25 05:02:49 PST","Stock Buy","USD","-$10","$0","-$10","NIO","$64.24","0.15566625","COMPLETED","#recurring Cash Invest NIO BUY trade","","Your Cash"
